2022,3,23,1,1,1,1,59000
2022,3,23,4,6,5,1,35000
2021,1,31,1,1,1,1,59000
2021,1,31,1,1,1,1,59000
2021,1,31,1,1,1,1,59000
2021,1,31,1,1,1,1,59000
2021,1,31,4,6,5,1,35000
2021,1,31,1,1,1,1,59000
2020,1,1,1,1,1,1,59000
2022,2,28,1,2,1,1,59000
2022,2,28,1,3,2,1,59000
2022,2,12,2,4,3,1,59000
2022,2,12,2,5,4,1,59000
2022,3,6,3,6,5,1,59000
2022,3,6,3,1,6,1,59000
2022,3,6,3,2,1,1,59000
2022,3,7,4,3,2,1,59000
2022,3,7,4,4,3,1,59000
2022,2,3,1,4,4,1,59000
2022,2,3,1,4,5,1,59000
2022,2,3,1,4,1,1,59000
2022,2,3,1,5,1,1,59000
2022,2,6,3,6,1,1,59000
2022,2,6,3,6,2,1,59000
